%KEY;Cost;Customer Number;Date;GrossSales;Invoice Date;Invoice Number;Item Desc;Item Number;Margin;Order Number;Promised Delivery Date;Sales;Sales Qty;Sales Rep Number
3459;3,43;10008381;2012-01-12;12,0125;2012-01-12;319174;Better Canned String Beans;10329;8,1;116701;2012-01-12;11,53;1;111
3460;3,19;10026532;2012-01-12;12,197;2012-01-12;319119;High Top Fresh Lima Beans;10191;8,52;116426;2012-01-12;11,71;1;167
3461;1,84;10008381;2012-01-12;19,3428;2012-01-12;319174;Big Time Low Fat French Fries;10397;16,73;116701;2012-01-12;18,57;6;111
3462;8,84;10015793;2012-01-12;20,4994;2012-01-12;319164;Tell Tale Firm Tofu;10505;10,84;116681;2012-01-12;19,68;1;182
3463;6,87;10000486;2012-01-12;22,9404;2012-01-12;319069;Better Canned String Beans;10329;15,15;116629;2012-01-12;22,02;2;162
3464;22,77;10021472;2012-01-12;24,448;2012-01-12;319142;Nationeel Low Fat Cookies;10839;0,7;116622;2012-01-12;23,47;1;154
3465;7,72;10000486;2012-01-12;26,4723;2012-01-12;319069;Carlson Head Cheese;10362;17,69;116629;2012-01-12;25,41;1;162
3466;13,28;10008381;2012-01-12;27,9472;2012-01-12;319174;Best Choice Frosted Donuts;10252;13,55;116701;2012-01-12;26,83;1;111
3467;15,07;10021472;2012-01-12;28,246;2012-01-12;319142;Golden Chicken TV Dinner;10097;12,05;116622;2012-01-12;27,12;2;154
3468;13,53;10007457;2012-01-12;28,398;2012-01-12;319193;Choice Tasty Candy Bar;10253;13,73;116741;2012-01-12;27,26;1;130
3469;11,51;10023524;2012-01-12;29,0892;2012-01-12;319195;Golden Ice Cream Sandwich;10104;16,42;116743;2012-01-12;27,93;1;103
3470;19,96;10013332;2012-01-12;32,2939;2012-01-12;319205;Ebony Party Nuts;10836;11,04;116809;2012-01-12;31;1;131
3471;24,86;10021472;2012-01-12;39,3108;2012-01-12;319142;Landslide Sesame Oil;10594;12,88;116622;2012-01-12;37,74;1;154
3472;17,68;10008381;2012-01-12;40,9988;2012-01-12;319174;Tell Tale Firm Tofu;10505;21,68;116701;2012-01-12;39,36;2;111
3473;25,05;10022444;2012-01-12;41,6534;2012-01-12;319183;Special Oatmeal;10950;14,93;116723;2012-01-12;39,98;1;173
3474;20,73;10021158;2012-01-12;45,3676;2012-01-12;319112;Nationeel Corn Chips;10841;22,83;116347;2012-01-12;43,56;2;143
3475;33,36;10015793;2012-01-12;48,4075;2012-01-12;319148;Great Pumpernickel Bread;10274;13,11;116639;2012-01-12;46,47;1;182
3476;12,91;10008381;2012-01-12;53,7602;2012-01-12;319174;Landslide Apple Butter;10612;38,7;116701;2012-01-12;51,61;2;111
3477;29,83;10021158;2012-01-12;59,04;2012-01-12;319112;Fast Dried Apples;10554;26,85;116347;2012-01-12;56,68;6;143
3478;31,23;10023793;2012-01-12;62,0853;2012-01-12;319076;Ebony Cantelope;10830;28,38;116507;2012-01-12;59,61;1;115
3479;25,72;10020672;2012-01-12;64,1701;2012-01-12;319172;Golden Home Style French Fries;10101;35,88;116698;2012-01-12;61,6;1;125
3480;10,1;10008381;2012-01-12;64,81;2012-01-12;319174;Big Time Fajita French Fries;10400;52,12;116701;2012-01-12;62,22;50;111
3481;24,25;10023524;2012-01-12;67,1305;2012-01-12;319141;Moms Sliced Ham;10385;40,19;116616;2012-01-12;64,44;1;103
3482;44,97;10023793;2012-01-12;69,8435;2012-01-12;319078;Nationeel Sugar Cookies;10843;22,08;116510;2012-01-12;67,05;1;115
3483;36,65;10021472;2012-01-12;70,686;2012-01-12;319142;Just Right Chicken Soup;10957;31,21;116622;2012-01-12;67,86;3;154
3484;46,1;10023793;2012-01-12;73,2662;2012-01-12;319076;Gorilla Whole Milk;10682;24,24;116507;2012-01-12;70,34;1;115
3485;29,92;10008381;2012-01-12;74,779;2012-01-12;319174;Landslide Grape Jam;10615;41,87;116701;2012-01-12;71,79;1;111
3486;37,38;10000486;2012-01-12;77,0054;2012-01-12;319069;Tell Tale Broccoli;10514;36,55;116629;2012-01-12;73,93;2;162
3487;31,09;10004245;2012-01-12;78,8097;2012-01-12;319115;Nationeel Corn Chips;10841;44,57;116378;2012-01-12;75,66;3;180
3488;22,3;10004245;2012-01-12;80,8766;2012-01-12;319097;High Top Fresh Lima Beans;10191;55,34;116222;2012-01-12;77,64;7;180
3489;56,79;10008381;2012-01-12;82,2156;2012-01-12;319174;High Top Golden Delcious Apples;10197;22,14;116701;2012-01-12;78,93;1;111
3490;56,79;10005376;2012-01-12;83,0632;2012-01-12;319136;High Top Golden Delcious Apples;10197;22,95;116529;2012-01-12;79,74;1;104
3491;47,75;10023793;2012-01-12;86,3263;2012-01-12;319077;Ebony Fuji Apples;10832;35,13;116509;2012-01-12;82,88;1;115
3492;0;10019194;2012-01-12;88,1375;2012-01-12;319198;Bravo Beef Soup;10649;84,61;116762;2012-01-12;84,61;1;108
3493;46,92;10020684;2012-01-12;92,2558;2012-01-12;319145;Colony English Muffins;10588;41,65;116630;2012-01-12;88,57;1;144
3494;52,97;10007457;2012-01-12;96,946;2012-01-12;319088;Washington Cranberry Juice;10009;40,1;116152;2012-01-12;93,07;1;130
3495;69,78;10023511;2012-01-12;100,4798;2012-01-12;319165;Nationeel Chocolate Donuts;10861;26,68;116682;2012-01-12;96,46;1;136
3496;60,52;10015253;2012-01-12;101,5375;2012-01-12;319090;Excellent Apple Drink;10322;36,96;116156;2012-01-12;97,48;1;158
3497;52,97;10020914;2012-01-12;104,4863;2012-01-12;319109;Washington Cranberry Juice;10009;47,34;116307;2012-01-12;100,31;1;182
3498;76,84;10017314;2012-01-12;105,5634;2012-01-12;319113;Nationeel Raisins;10871;24,5;116372;2012-01-12;101,34;1;116
3499;49,92;10015793;2012-01-12;115,9344;2012-01-12;319148;Landslide French Roast Coffee;10599;61,37;116639;2012-01-12;111,29;1;182
3500;57,54;10003882;2012-01-12;118,2298;2012-01-12;319146;Bravo Canned Tomatos;10644;55,96;116637;2012-01-12;113,5;1;176
3501;46,75;10009863;2012-01-12;118,236;2012-01-12;319121;Nationeel Golden Raisins;10872;66,76;116442;2012-01-12;113,51;2;153
3502;70,58;10021472;2012-01-12;122,24;2012-01-12;319142;Tell Tale Walnuts;10522;46,77;116622;2012-01-12;117,35;5;154
3503;59,86;10021472;2012-01-12;126,1414;2012-01-12;319142;Bravo Vegetable Soup;10643;61,23;116622;2012-01-12;121,09;2;154
3504;34,82;10013574;2012-01-12;126,7142;2012-01-12;319099;Fast Low Fat Cookies;10528;86,82;116232;2012-01-12;121,64;1;110
3505;60,62;10020515;2012-01-12;127,2021;2012-01-12;319197;Just Right Fancy Canned Oysters;10973;61,49;116761;2012-01-12;122,11;1;143
3506;91,7;10023447;2012-01-12;128,2464;2012-01-12;319094;BBB Best Strawberry Jelly;10924;31,42;116177;2012-01-12;123,12;1;176
3507;83,13;10015793;2012-01-12;132,96;2012-01-12;319124;High Top Golden Delcious Apples;10197;44,51;116478;2012-01-12;127,64;12;182
3508;101,53;10007457;2012-01-12;136,417;2012-01-12;319088;Even Better String Cheese;10986;29,43;116152;2012-01-12;130,96;1;130
3509;25,12;10016334;2012-01-12;139,02;2012-01-12;319156;Pearl Chardonnay;10898;108,34;116666;2012-01-12;133,46;2;154
3510;22,84;10002489;2012-01-12;140,3736;2012-01-12;319167;High Top Firm Tofu;10194;111,92;116691;2012-01-12;134,76;12;109
3511;41,17;10021472;2012-01-12;143,748;2012-01-12;319142;Better Beef Soup;10338;96,83;116622;2012-01-12;138;1;154
3512;38,15;10019664;2012-01-12;145,248;2012-01-12;319144;Big Time Home Style French Fries;10412;101,29;116625;2012-01-12;139,44;1;170
3513;101,53;10009863;2012-01-12;148,5429;2012-01-12;319108;Even Better String Cheese;10986;41,07;116300;2012-01-12;142,6;1;153
3514;105,87;10005376;2012-01-12;155,0288;2012-01-12;319139;High Top Macintosh Apples;10196;42,96;116587;2012-01-12;148,83;2;104
3515;63,51;10015793;2012-01-12;161,3192;2012-01-12;319170;Gorilla Havarti Cheese;10672;91,36;116695;2012-01-12;154,87;1;182
3516;110,38;10023524;2012-01-12;163,0656;2012-01-12;319175;Tell Tale Limes;10504;46,17;116702;2012-01-12;156,55;1;103
3517;113,58;10005376;2012-01-12;166,1264;2012-01-12;319139;High Top Golden Delcious Apples;10197;45,9;116587;2012-01-12;159,48;2;104
3518;47,33;10021472;2012-01-12;179,6949;2012-01-12;319142;Better Canned Peas;10339;125,17;116622;2012-01-12;172,5;1;154
3519;73,43;10000486;2012-01-12;192,0973;2012-01-12;319069;Super Grape Preserves;10295;110,99;116629;2012-01-12;184,42;1;162
3520;58,16;10016334;2012-01-12;195,2706;2012-01-12;319156;Red Spade Beef Bologna;10065;129,3;116666;2012-01-12;187,46;3;154
3521;72,75;10011052;2012-01-12;205,6314;2012-01-12;319120;Moms Sliced Ham;10385;124,65;116435;2012-01-12;197,4;3;157
3522;76,31;10000471;2012-01-12;209,1572;2012-01-12;319126;Big Time Home Style French Fries;10412;124,48;116482;2012-01-12;200,79;2;144
3523;153,67;10009863;2012-01-12;211,1268;2012-01-12;319111;Nationeel Raisins;10871;49,01;116324;2012-01-12;202,68;2;153
3524;57,38;10021472;2012-01-12;215,6418;2012-01-12;319142;Better Canned Tuna in Water;10341;149,63;116622;2012-01-12;207,01;1;154
3525;107,77;10019664;2012-01-12;240,984;2012-01-12;319143;Gorilla Chocolate Milk;10680;123,57;116623;2012-01-12;231,34;1;170
3526;118,71;10013572;2012-01-12;266,6378;2012-01-12;319169;BBB Best Strawberry Preserves;10935;137,26;116693;2012-01-12;255,97;1;181
3527;220,76;10021472;2012-01-12;280,859;2012-01-12;319142;Tell Tale Limes;10504;48,87;116622;2012-01-12;269,63;2;154
3528;121,48;10007457;2012-01-12;284,4253;2012-01-12;319127;Cutting Edge Foot-Long Hot Dogs;10690;151,57;116485;2012-01-12;273,05;1;130
3529;203,05;10025025;2012-01-12;294,0544;2012-01-12;319114;Even Better String Cheese;10986;79,24;116373;2012-01-12;282,29;2;110
3530;154,19;10008381;2012-01-12;316,269;2012-01-12;319174;Just Right Chicken Ramen Soup;10967;149,43;116701;2012-01-12;303,62;2;111
3531;208,49;10023793;2012-01-12;344,785;2012-01-12;319078;Bravo Fancy Canned Oysters;10657;122,51;116510;2012-01-12;331;5;115
3532;215,54;10023447;2012-01-12;347,017;2012-01-12;319134;Gorilla Chocolate Milk;10680;117,6;116525;2012-01-12;333,14;2;176
3533;288,16;10025033;2012-01-12;420,1128;2012-01-12;319106;Red Spade Low Fat Bologna;10066;115,15;116296;2012-01-12;403,31;1;115
3534;339,85;10011052;2012-01-12;459,012;2012-01-12;319120;Nationeel Salsa Dip;10854;100,8;116435;2012-01-12;440,65;6;157
3535;278,38;10016334;2012-01-12;545,536;2012-01-12;319156;Ebony Prepared Salad;10799;245,34;116666;2012-01-12;523,72;1;154
3536;395,98;10020914;2012-01-12;626,9284;2012-01-12;319109;Even Better Low Fat String Cheese;10987;205,87;116307;2012-01-12;601,85;2;182
3537;470,77;10022732;2012-01-12;726,1618;2012-01-12;319163;Even Better Chocolate Milk;10996;226,34;116679;2012-01-12;697,11;1;130
3538;449,69;10007457;2012-01-12;741,9496;2012-01-12;319162;Better Fancy Canned Sardines;10347;262,58;116678;2012-01-12;712,27;1;130
3539;449,69;10001818;2012-01-12;824,3885;2012-01-12;319123;Better Fancy Canned Sardines;10347;341,72;116470;2012-01-12;791,41;1;120
3540;475,75;10022444;2012-01-12;843,8723;2012-01-12;319186;Red Spade Foot-Long Hot Dogs;10068;334,37;116728;2012-01-12;810,12;1;173
3541;488,68;10016334;2012-01-12;859,8441;2012-01-12;319156;Thresher Spicy Mints;10880;336,77;116666;2012-01-12;825,45;3;154
3542;426,32;10011052;2012-01-12;1066,317;2012-01-12;319120;Fast BBQ Potato Chips;10529;597,35;116435;2012-01-12;1023,67;10;157
3543;424,91;10015793;2012-01-12;1118,89;2012-01-12;319110;Nationeel Corn Chips;10841;649,22;116317;2012-01-12;1074,13;41;182
3544;475,75;10019664;2012-01-12;1302,272;2012-01-12;319144;Red Spade Foot-Long Hot Dogs;10068;774,43;116625;2012-01-12;1250,18;1;170
3545;607,39;10015793;2012-01-12;1477,3505;2012-01-12;319122;Cutting Edge Foot-Long Hot Dogs;10690;810,87;116450;2012-01-12;1418,26;5;182
3546;899,38;10009863;2012-01-12;1615,8014;2012-01-12;319121;Better Fancy Canned Sardines;10347;651,79;116442;2012-01-12;1551,17;2;153
3547;957,15;10016334;2012-01-12;1965,5757;2012-01-12;319156;Red Spade Turkey Hot Dogs;10067;929,81;116666;2012-01-12;1886,96;3;154
3548;3912,85;10011521;2012-01-12;4984;2012-01-12;319096;Better Noodle Soup;10334;871,79;116198;2012-01-12;4784,64;8;172
3549;7291,92;10009676;2012-01-12;11985,48;2012-01-12;319093;Big Time Frozen Peas;10419;4214,14;116161;2012-01-13;11506,06;39;141
3550;27854,72;10009676;2012-01-12;53626;2012-01-12;319089;Landslide White Sugar;10598;23626,24;116153;2012-01-13;51480,96;200;141
3551;43552,8;10025353;2012-01-12;93020;2012-01-12;319086;Fast Mini Donuts;10548;45746,4;116062;2012-01-13;89299,2;500;153
3552;-119,61;10024262;2012-01-13;-225,4118;2012-01-13;318961;Bravo Canned Yams;10642;-96,78;115786;2012-01-13;-216,39;-2;161
3562;0,12;10025298;2012-01-13;0,3571;2012-01-13;319206;Urban Large Brown Eggs;10389;0,23;116680;2012-01-13;0,35;1;150
3563;0,3;10025298;2012-01-13;0,8525;2012-01-13;319206;Moms Sliced Chicken;10387;0,52;116680;2012-01-13;0,82;1;150
3564;0,42;10019812;2012-01-13;1,3242;2012-01-13;319316;Best Choice Beef Jerky;10238;0,85;116767;2012-01-13;1,27;1;113
3565;0,53;10012425;2012-01-13;1,5421;2012-01-13;319301;Best Choice Mini Donuts;10237;0,95;116712;2012-01-13;1,48;1;108
3566;0,5;10019812;2012-01-13;2,1507;2012-01-13;319316;Great Pumpernickel Bread;10274;1,56;116767;2012-01-13;2,06;3;113
3567;2,2;10014804;2012-01-13;3,2404;2012-01-13;319226;Golden Chicken TV Dinner;10097;0,91;116627;2012-01-13;3,11;1;127
3568;1,04;10000601;2012-01-13;3,41;2012-01-13;319317;Blue Label Rice Soup;10037;2,23;116770;2012-01-13;3,27;4;134
3569;1,1;10011398;2012-01-13;4,95;2012-01-13;319284;Bravo Canned Peas;10650;3,65;116550;2012-01-13;4,75;1;185
3570;1,24;10000601;2012-01-13;5,2992;2012-01-13;319317;Golden Pancake Mix;10099;3,85;116770;2012-01-13;5,09;2;134
3571;1,76;10014804;2012-01-13;8,2446;2012-01-13;319226;High Top Walnuts;10211;6,15;116627;2012-01-13;7,91;21;127
3572;31,06;10019812;2012-01-13;9,2148;2012-01-13;319303;Blue Label Canned Peas;10028;-22,22;116722;2012-01-13;8,84;1;113
3573;2,06;10000601;2012-01-13;10,08;2012-01-13;319317;Green Ribbon Canned Mixed Fruit;10038;7,62;116770;2012-01-13;9,68;2;134
3574;4,97;10019812;2012-01-13;12,0275;2012-01-13;319316;Fast Dried Apples;10554;6,58;116767;2012-01-13;11,55;1;113
3575;3,19;10019812;2012-01-13;12,197;2012-01-13;319316;High Top Fresh Lima Beans;10191;8,52;116767;2012-01-13;11,71;1;113
3576;2,52;10014804;2012-01-13;12,6738;2012-01-13;319226;Golden Frozen Pepperoni Pizza;10091;9,64;116627;2012-01-13;12,16;1;127
3577;2,04;10018146;2012-01-13;13,3548;2012-01-13;319236;Big Time Frozen Sausage Pizza;10398;10,78;116083;2012-01-13;12,82;4;157
3578;6,23;10025359;2012-01-13;15,264;2012-01-13;319322;Ebony Cauliflower;10808;8,42;116784;2012-01-13;14,65;1;144
3579;7,53;10023244;2012-01-13;16,7448;2012-01-13;319297;Golden Chicken TV Dinner;10097;8,54;116662;2012-01-13;16,07;1;124
3580;3,11;10018146;2012-01-13;20,1948;2012-01-13;319236;Big Time Frozen Chicken Wings;10422;16,27;116083;2012-01-13;19,38;4;157
3581;5,82;10019812;2012-01-13;20,2738;2012-01-13;319316;Big Time Apple Cinnamon Waffles;10405;13,64;116767;2012-01-13;19,46;1;113
3582;6,84;10007577;2012-01-13;20,8152;2012-01-13;319314;Imagine Frozen Pancakes;10707;13,15;116760;2012-01-13;19,99;12;175
3583;12,99;10019194;2012-01-13;21,1985;2012-01-13;319269;Atomic Spicy Mints;10569;7,36;116403;2012-01-13;20,35;1;108
3584;5,84;10019812;2012-01-13;21,318;2012-01-13;319303;High Top Broccoli;10203;14,63;116722;2012-01-13;20,47;1;113
3585;11,07;10025778;2012-01-13;21,6407;2012-01-13;319241;Token Berry Juice;10623;9,7;116102;2012-01-13;20,77;1;103
3586;13,45;10025778;2012-01-13;21,685;2012-01-13;319241;BBB Best Grape Jam;10931;7,37;116102;2012-01-13;20,82;2;103
3587;11,26;10021668;2012-01-13;21,8989;2012-01-13;319307;Thresher White Chocolate Bar;10882;9,76;116739;2012-01-13;21,02;1;117
3588;6,28;10011870;2012-01-13;22,5905;2012-01-13;319311;Big Time Frozen Carrots;10406;15,41;116756;2012-01-13;21,69;1;120
3589;16,3;10025778;2012-01-13;23,7456;2012-01-13;319241;BBB Best Pepper;10925;6,5;116102;2012-01-13;22,8;1;103
3590;3,81;10019812;2012-01-13;24,394;2012-01-13;319316;High Top Firm Tofu;10194;19,6;116767;2012-01-13;23,41;2;113
3591;18,54;10025778;2012-01-13;24,391;2012-01-13;319241;Urban Egg Substitute;10392;4,87;116102;2012-01-13;23,41;1;103
3592;9,75;10000601;2012-01-13;24,745;2012-01-13;319317;Big Time Chicken TV Dinner;10408;14,01;116770;2012-01-13;23,76;2;134
3593;6,87;10009643;2012-01-13;24,768;2012-01-13;319228;Better Canned String Beans;10329;16,91;116833;2012-01-13;23,78;2;105
3594;3,06;10018146;2012-01-13;26,102;2012-01-13;319236;Big Time Low Fat French Fries;10397;22;116083;2012-01-13;25,06;10;157
3595;13,28;10019812;2012-01-13;27,3709;2012-01-13;319316;Best Choice Frosted Donuts;10252;13;116767;2012-01-13;26,28;1;113
3596;7,81;10019812;2012-01-13;27,557;2012-01-13;319316;Moms Chicken Hot Dogs;10374;18,65;116767;2012-01-13;26,46;1;113
3597;7,19;10012425;2012-01-13;28,1763;2012-01-13;319239;Moms Corned Beef;10383;19,86;116090;2012-01-13;27,05;1;108
3598;16,55;10025359;2012-01-13;28,2701;2012-01-13;319322;Bravo Creamed Corn;10639;10,59;116784;2012-01-13;27,14;1;144
3599;5,56;10014043;2012-01-13;28,6079;2012-01-13;319266;Fast Buttered Popcorn;10540;21,91;116356;2012-01-13;27,47;1;167
3600;13,28;10025359;2012-01-13;28,8115;2012-01-13;319322;Best Choice Frosted Donuts;10252;14,38;116784;2012-01-13;27,66;1;144
3601;10,36;10025359;2012-01-13;29,1859;2012-01-13;319322;Nationeel Corn Chips;10841;17,66;116784;2012-01-13;28,02;1;144
3602;9,78;10012422;2012-01-13;32,8954;2012-01-13;319329;Bravo Beef Soup;10649;21,8;116807;2012-01-13;31,58;1;139
3603;20,78;10018885;2012-01-13;33,7677;2012-01-13;319273;High Top Golden Delcious Apples;10197;11,64;116427;2012-01-13;32,42;3;107
3604;13,84;10025359;2012-01-13;36,0806;2012-01-13;319322;Carlson Low Fat String Cheese;10360;20,8;116784;2012-01-13;34,64;1;144
3605;14,5;10021668;2012-01-13;37,4777;2012-01-13;319274;Moms Potato Salad;10386;21,48;116428;2012-01-13;35,98;1;117
3606;33,55;10019812;2012-01-13;40,3835;2012-01-13;319316;Blue Label Fancy Canned Oysters;10035;5,21;116767;2012-01-13;38,76;5;113
3607;27,27;10023244;2012-01-13;41,8872;2012-01-13;319270;Pearl White Zinfandel Wine;10899;12,94;116408;2012-01-13;40,21;1;124
3608;15,87;10019812;2012-01-13;42,3861;2012-01-13;319316;Moms Turkey Hot Dogs;10378;24,82;116767;2012-01-13;40,69;1;113
3609;20,73;10021158;2012-01-13;45,3676;2012-01-13;319264;Nationeel Corn Chips;10841;22,83;116334;2012-01-13;43,56;2;143
3610;21,36;10018146;2012-01-13;46,7408;2012-01-13;319236;Big Time Ice Cream Sandwich;10415;23,51;116083;2012-01-13;44,87;4;157
3611;54,83;10015793;2012-01-13;47,0778;2012-01-13;319334;Choice Mint Chocolate Bar;10254;-9,63;116814;2012-01-13;45,2;1;182
3612;20,75;10014804;2012-01-13;47,4274;2012-01-13;319226;Golden Frozen Mushroom Pizza;10093;24,78;116627;2012-01-13;45,53;1;127
3613;13,73;10014804;2012-01-13;47,5544;2012-01-13;319226;Better Canned String Beans;10329;31,92;116627;2012-01-13;45,65;4;127
3614;10,94;10019812;2012-01-13;48,45;2012-01-13;319303;High Top Fancy Plums;10200;35,57;116722;2012-01-13;46,51;1;113
3615;26,46;10014804;2012-01-13;48,8596;2012-01-13;319226;Discover Spaghetti;10890;20,45;116627;2012-01-13;46,91;2;127
3616;13,41;10025778;2012-01-13;50,8068;2012-01-13;319241;Great Muffins;10279;35,37;116102;2012-01-13;48,78;3;103
3617;13,7;10024743;2012-01-13;51,4305;2012-01-13;319254;Gorilla Buttermilk;10679;35,67;116201;2012-01-13;49,37;1;113
3618;13,7;10000601;2012-01-13;53,8618;2012-01-13;319277;Gorilla Buttermilk;10679;38,01;116461;2012-01-13;51,71;1;134
3619;29,7;10018146;2012-01-13;54,988;2012-01-13;319236;Tell Tale Almonds;10506;23,09;116083;2012-01-13;52,79;5;157
3620;26,48;10014804;2012-01-13;57,8839;2012-01-13;319226;Big Time Ice Cream;10414;29,08;116627;2012-01-13;55,56;1;127
3621;33,36;10019812;2012-01-13;58,1017;2012-01-13;319316;Just Right Fancy Canned Clams;10972;22,42;116767;2012-01-13;55,78;1;113
3622;35,14;10007577;2012-01-13;58,8676;2012-01-13;319314;Landslide Strawberry Preserves;10619;21,38;116760;2012-01-13;56,52;2;175
3623;23,37;10021986;2012-01-13;59,118;2012-01-13;319283;Nationeel Golden Raisins;10872;33,39;116515;2012-01-13;56,76;1;183
3624;33,36;10025359;2012-01-13;61,1597;2012-01-13;319322;Just Right Fancy Canned Clams;10972;25,35;116784;2012-01-13;58,71;1;144
3625;25,72;10013011;2012-01-13;62,5635;2012-01-13;319217;Golden Home Style French Fries;10101;34,34;116781;2012-01-13;60,06;1;161
3626;24,25;10012226;2012-01-13;67,1305;2012-01-13;319337;Moms Sliced Ham;10385;40,19;116822;2012-01-13;64,44;1;180
3627;44,81;10020672;2012-01-13;68,4005;2012-01-13;319260;Tell Tale Limes;10504;20,85;116261;2012-01-13;65,66;1;125
3628;31,17;10012425;2012-01-13;69,421;2012-01-13;319301;Imagine Low Fat Waffles;10704;35,47;116712;2012-01-13;66,64;1;108
3629;60;10018146;2012-01-13;70,2785;2012-01-13;319236;Big Time Pancake Mix;10410;7,47;116083;2012-01-13;67,47;5;157
3630;20,84;10019812;2012-01-13;70,6162;2012-01-13;319316;High Top Baby Onion;10189;46,96;116767;2012-01-13;67,8;1;113
3631;53,24;10019812;2012-01-13;70,8241;2012-01-13;319316;Fast Low Fat Chips;10551;14,75;116767;2012-01-13;67,99;1;113
3632;51;10025778;2012-01-13;71,061;2012-01-13;319241;Big Time Grape Popsicles;10411;17,22;116102;2012-01-13;68,22;3;103
3633;22,67;10009643;2012-01-13;72,3917;2012-01-13;319228;Big Time Beef TV Dinner;10409;46,82;116833;2012-01-13;69,49;1;105
3634;20,03;10016780;2012-01-13;74,541;2012-01-13;319222;Excellent Cream Soda;10315;51,53;116276;2012-01-13;71,56;15;120
3635;56,64;10019812;2012-01-13;74,9246;2012-01-13;319316;Ebony Squash;10814;15,28;116767;2012-01-13;71,92;1;113
3636;32,9;10019812;2012-01-13;78,25;2012-01-13;319316;Ebony New Potatos;10797;42,22;116767;2012-01-13;75,12;10;113
3637;52,93;10012422;2012-01-13;79,0963;2012-01-13;319329;High Top Macintosh Apples;10196;23,01;116807;2012-01-13;75,94;1;139
3638;32,9;10000601;2012-01-13;82,368;2012-01-13;319317;Ebony New Potatos;10797;46,18;116770;2012-01-13;79,08;10;134
3639;29,71;10009643;2012-01-13;86,0776;2012-01-13;319228;Nationeel Potato Chips;10847;52,93;116833;2012-01-13;82,64;4;105
3640;25,12;10014804;2012-01-13;88,5176;2012-01-13;319226;Big Time Frozen Carrots;10406;59,86;116627;2012-01-13;84,98;4;127
3641;46,92;10019812;2012-01-13;91,2948;2012-01-13;319316;Colony English Muffins;10588;40,72;116767;2012-01-13;87,64;1;113
3642;56,9;10012226;2012-01-13;91,3715;2012-01-13;319335;Just Right Canned Yams;10958;30,82;116819;2012-01-13;87,72;1;180
3643;18,76;10000601;2012-01-13;95,8234;2012-01-13;319317;Cutting Edge Turkey Hot Dogs;10689;73,23;116770;2012-01-13;91,99;1;134
3644;37,98;10019812;2012-01-13;102,3319;2012-01-13;319316;Just Right Beef Soup;10965;60,26;116767;2012-01-13;98,24;1;113
3645;41,53;10019812;2012-01-13;102,8298;2012-01-13;319316;Carlson Low Fat String Cheese;10360;57,19;116767;2012-01-13;98,72;3;113
